Campaign_ID,Campaign_Name,Campaign_Type,Platform,Campaign_Start_Date,Campaign_End_Date,Region,Audience_Segment,Impressions,Clicks,CTR_%,Leads_Generated,Conversions,Conversion_Rate_%,Marketing_Spend,Revenue_Generated,ROI_%,CPC,CPM,CAC
C001,Campaign_1,Discount,YouTube,06-05-2025,28-05-2025,North,Young Adults,61579,4033,6.55,975,645,15.99,34790,90422,159.9080195,8.63,564.97,53.94
C002,Campaign_2,Discount,Google,30-04-2025,31-05-2025,North,Professionals,182815,4844,2.65,754,435,8.98,154853,344229,122.2940466,31.97,847.05,355.98
C003,Campaign_3,Launch,LinkedIn,23-03-2025,29-04-2025,East,Students,135785,5933,4.37,878,601,10.13,100236,152846,52.48613273,16.89,738.20,166.78
C004,Campaign_4,Discount,LinkedIn,06-11-2025,29-11-2025,East,Young Adults,236583,6482,2.74,1313,516,7.96,111230,163881,47.33525128,17.16,470.15,215.56
C005,Campaign_5,Upsell,Instagram,09-04-2025,16-05-2025,East,Business Owners,43233,1188,2.75,191,86,7.24,32916,104728,218.1674566,27.71,761.36,382.74
C006,Campaign_6,Retention,Google,22-11-2025,02-01-2026,East,Existing Customers,120638,4089,3.39,752,439,10.74,30717,81095,164.0069017,7.51,254.62,69.97
C007,Campaign_7,Launch,Facebook,25-08-2025,21-09-2025,South,Professionals,95765,7603,7.94,1788,974,12.81,97008,305989,215.4265628,12.76,1012.98,99.60
C008,Campaign_8,Awareness,Google,25-07-2025,17-08-2025,North,Young Adults,42350,1550,3.66,449,294,18.97,94490,167037,76.77743677,60.96,2231.17,321.39
C009,Campaign_9,Retention,LinkedIn,16-05-2025,04-06-2025,West,Professionals,89651,5916,6.60,1283,784,13.25,124311,407144,227.520493,21.01,1386.61,158.56
C010,Campaign_10,Acquisition,LinkedIn,18-09-2025,18-10-2025,South,Professionals,48831,3252,6.66,894,360,11.07,53938,164110,204.2567392,16.59,1104.59,149.83
C011,Campaign_11,Launch,LinkedIn,15-07-2025,18-08-2025,North,Existing Customers,147696,7990,5.41,2355,1533,19.19,15009,41974,179.6588713,1.88,101.62,9.79
C012,Campaign_12,Upsell,Google,27-02-2025,23-03-2025,East,Young Adults,138971,4683,3.37,564,339,7.24,81045,278645,243.8151644,17.31,583.18,239.07
C013,Campaign_13,Launch,Facebook,24-11-2025,25-12-2025,North,Young Adults,184637,6628,3.59,1241,504,7.60,151029,501519,232.0680134,22.79,817.98,299.66
C014,Campaign_14,Acquisition,Email,27-02-2025,12-04-2025,West,Students,120153,8807,7.33,2375,1086,12.33,27184,49744,82.98999411,3.09,226.24,25.03
C015,Campaign_15,Discount,Email,05-02-2025,16-03-2025,North,Existing Customers,164645,11047,6.71,1580,815,7.38,156127,259682,66.32741294,14.13,948.26,191.57
C016,Campaign_16,Launch,Email,04-10-2025,12-11-2025,West,Professionals,216347,13608,6.29,3379,1654,12.15,109889,248768,126.3811664,8.08,507.93,66.44
C017,Campaign_17,Retention,Email,26-04-2025,13-05-2025,North,Professionals,113627,2977,2.62,654,363,12.19,13885,20219,45.61757292,4.66,122.20,38.25
C018,Campaign_18,Discount,YouTube,17-01-2025,28-02-2025,South,Students,111619,3225,2.89,525,306,9.49,68160,169467,148.631162,21.13,610.65,222.75
C019,Campaign_19,Launch,YouTube,31-08-2025,10-10-2025,West,Professionals,131708,4675,3.55,642,321,6.87,123038,271228,120.4424649,26.32,934.17,383.30
C020,Campaign_20,Discount,YouTube,26-07-2025,02-09-2025,North,Students,113946,7862,6.90,1098,457,5.81,152584,348951,128.6943585,19.41,1339.09,333.88
C021,Campaign_21,Awareness,LinkedIn,08-05-2025,19-06-2025,East,Existing Customers,44761,2211,4.94,608,329,14.88,25261,69081,173.4689838,11.43,564.35,76.78
C022,Campaign_22,Discount,Email,27-03-2025,24-04-2025,North,Professionals,152307,7843,5.15,2161,1438,18.33,55158,117692,113.3724936,7.03,362.15,38.36
C023,Campaign_23,Acquisition,LinkedIn,05-08-2025,11-09-2025,West,Young Adults,216497,17254,7.97,3796,2283,13.23,52579,90318,71.77580403,3.05,242.86,23.03
C024,Campaign_24,Discount,Facebook,30-01-2025,15-02-2025,North,Young Adults,178138,9120,5.12,2603,1394,15.29,26910,91863,241.3712375,2.95,151.06,19.30
C025,Campaign_25,Awareness,Google,04-02-2025,12-03-2025,North,Business Owners,86657,4090,4.72,1184,650,15.89,163760,427076,160.7938447,40.04,1889.75,251.94
C026,Campaign_26,Discount,Email,17-10-2025,17-11-2025,West,Business Owners,107934,8246,7.64,1292,776,9.41,74570,140516,88.43502749,9.04,690.89,96.10
C027,Campaign_27,Upsell,Facebook,11-06-2025,25-07-2025,East,Existing Customers,222096,16990,7.65,2067,1172,6.90,159585,557177,249.14121,9.39,718.54,136.16
C028,Campaign_28,Launch,Google,16-05-2025,04-06-2025,South,Business Owners,116490,8550,7.34,2379,1140,13.33,53352,120789,126.400135,6.24,458.00,46.80
C029,Campaign_29,Upsell,Email,28-09-2025,13-10-2025,East,Business Owners,200076,13985,6.99,2431,1415,10.12,47203,88827,88.18083596,3.38,235.93,33.36
C030,Campaign_30,Upsell,Google,25-05-2025,28-06-2025,South,Young Adults,80215,5173,6.45,810,463,8.95,81201,195848,141.1891479,15.70,1012.29,175.38
C031,Campaign_31,Discount,Instagram,22-05-2025,07-06-2025,North,Existing Customers,25929,1122,4.33,161,111,9.89,54357,159304,193.0698898,48.45,2096.38,489.70
C032,Campaign_32,Upsell,Email,05-01-2025,23-01-2025,West,Business Owners,44724,3443,7.70,841,338,9.82,21444,67250,213.6075359,6.23,479.47,63.44
C033,Campaign_33,Launch,Email,07-03-2025,23-03-2025,South,Existing Customers,105808,4771,4.51,1373,947,19.85,22458,73609,227.7629353,4.71,212.25,23.71
C034,Campaign_34,Upsell,Facebook,01-07-2025,09-08-2025,South,Students,171770,12642,7.36,2441,1384,10.95,52515,175225,233.6665715,4.15,305.73,37.94
C035,Campaign_35,Awareness,Facebook,13-01-2025,02-02-2025,South,Existing Customers,218085,16530,7.58,4311,2130,12.89,77055,145400,88.6963857,4.66,353.33,36.18
C036,Campaign_36,Discount,YouTube,29-08-2025,20-09-2025,West,Students,77316,5404,6.99,1096,500,9.25,71662,128305,79.0418911,13.26,926.87,143.32
